PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Marmorino, GO; Smith, GB; Lindemann, GJ				Marmorino, GO; Smith, GB; Lindemann, GJ			Infrared imagery of large-aspect-ratio Langmuir circulation	CONTINENTAL SHELF RESEARCH																													0278-4343					JAN	2005	25	1					1	6		10.1016/j.csr.2004.08.002								WOS:000226123500001						
J	Chauhan, OS; Rajawat, AS; Pradhan, Y; Suneethi, J; Nayak, SR				Chauhan, OS; Rajawat, AS; Pradhan, Y; Suneethi, J; Nayak, SR			Weekly observations on dispersal and sink pathways of the terrigenous flux of the Ganga-Brahmaputra in the Bay of Bengal during NE monsoon	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY					International Workshop on Biogeochemical Processes in the Northern Indian Ocean	FEB 24-25, 2003	Goa, INDIA									Pradhan, Yaswant/G-2040-2010	Pradhan, Yaswant/0000-0002-3680-4751												0967-0645						2005	52	14-15					2018	2030		10.1016/j.dsr2.2005.05.012								WOS:000232212500014						
J	Groom, S; Herut, B; Brenner, S; Zodiatis, G; Psarra, S; Kress, N; Krom, MD; Law, CS; Drakopoulos, P				Groom, S; Herut, B; Brenner, S; Zodiatis, G; Psarra, S; Kress, N; Krom, MD; Law, CS; Drakopoulos, P			Satellite-derived spatial and temporal biological variability in the Cyprus Eddy	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																Groom, Steve/A-1355-2012; Zodiatis, George/J-3032-2013	Law, Cliff/0000-0002-7669-2475												0967-0645						2005	52	22-23					2990	3010		10.1016/j.dsr.2005.08.019								WOS:000234266000009						
J	Civille, JC; Sayce, K; Smith, SD; Strong, DR				Civille, JC; Sayce, K; Smith, SD; Strong, DR			Reconstructing a century of Spartina alterniflora invasion with historical records and contemporary remote sensing	ECOSCIENCE																													1195-6860						2005	12	3					330	338		10.2980/i1195-6860-12-3-330.1								WOS:000232582200005						
J	Lipa, B; Nyden, B				Lipa, B; Nyden, B			Directional wave information from the SeaSonde	IEEE JOURNAL OF OCEANIC ENGINEERING																													0364-9059					JAN	2005	30	1					221	231		10.1109/JOE.2004.839929								WOS:000229417400022						
J	Alphan, H				Alphan, H			Perceptions of coastline changes in river deltas: southeast Mediterranean coast of Turkey	INTERNATIONAL JOURNAL OF ENVIRONMENT AND POLLUTION																													0957-4352						2005	23	1					92	102		10.1504/IJEP.2005.006398								WOS:000228547100007						
J	Gagliardini, DA; Aliotta, S; Dogliotti, AI; Clemente-Colon, P				Gagliardini, DA; Aliotta, S; Dogliotti, AI; Clemente-Colon, P			Identification of bed forms through ERS SAR images in San Matias Gulf, Argentina	JOURNAL OF COASTAL RESEARCH																Clemente-Colon, Pablo/F-5581-2010													0749-0208	1551-5036				JAN	2005	21	1					193	201		10.2112/02034.1								WOS:000226987500016						
J	Son, S; Campbell, J; Dowell, M; Yoo, S; Noh, J				Son, S; Campbell, J; Dowell, M; Yoo, S; Noh, J			Primary production in the Yellow Sea determined by ocean color remote sensing	MARINE ECOLOGY PROGRESS SERIES																Yoo, Sinjae/B-5346-2011													0171-8630						2005	303						91	103		10.3354/meps303091								WOS:000234214500007						
J	Berge, J; Johnsen, G; Nilsen, F; Gulliksen, B; Slagstad, D				Berge, J; Johnsen, G; Nilsen, F; Gulliksen, B; Slagstad, D			Ocean temperature oscillations enable reappearance of blue mussels Mytilus edulis in Svalbard after a 1000 year absence	MARINE ECOLOGY PROGRESS SERIES																Berge, Jorgen/B-8749-2008; Johnsen, Geir/A-1689-2009	Berge, Jorgen/0000-0003-0900-5679; 												0171-8630						2005	303						167	175		10.3354/meps303167								WOS:000234214500014						
J	Lantuit, H; Pollard, WH				Lantuit, H; Pollard, WH			Temporal stereophotogrammetric analysis of retrogressive thaw slumps on Herschel Island, Yukon territory	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES																	Lantuit, Hugues/0000-0003-1497-6760												1561-8633						2005	5	3					413	423		10.5194/nhess-5-413-2005								WOS:000230104000011						
J	Krezel, A; Szymanek, L; Kozlowski, L; Szymelfenig, M				Krezel, Adam; Szymanek, Lena; Kozlowski, Lukasz; Szymelfenig, Maria			Influence of coastal upwelling on chlorophyll a concentration in the surface water along the Polish coast of the Baltic Sea	OCEANOLOGIA																Krezel, Adam/I-5433-2012													0078-3234						2005	47	4					433	452										WOS:000234394600002						
J	Karkas, E; Martma, T; Sonninen, E				Karkas, E; Martma, T; Sonninen, E			Physical properties and stratigraphy of surface snow in western Dronning Maud Land, Antarctica	POLAR RESEARCH																	Martma, Tonu/0000-0001-5894-7692												0800-0395	1751-8369					2005	24	1-2					55	67		10.1111/j.1751-8369.2005.tb00140.x								WOS:000230738900006						
J	Rubio, A; Arnau, PA; Espino, M; Flexas, MD; Jorda, G; Salat, J; Puigdefabregas, J; Arcilla, AS				Rubio, A; Arnau, PA; Espino, M; Flexas, MD; Jorda, G; Salat, J; Puigdefabregas, J; Arcilla, AS			A field study of the behaviour of an anticyclonic eddy on the Catalan continental shelf (NW Mediterranean)	PROGRESS IN OCEANOGRAPHY																Espino, Manuel/L-1990-2014; Rubio, Anna/M-1621-2014; Arnau del Amo, Pedro/D-2628-2015; Salat, Jordi/F-9328-2013	Rubio, Anna/0000-0002-6284-2639; Arnau del Amo, Pedro/0000-0002-3718-8559; Salat, Jordi/0000-0001-6139-5673												0079-6611						2005	66	2-4					142	156		10.1016/j.pocean.2004.07.012								WOS:000231513100004						
J	Noyola-Medrano, MC; Hinojosa-Corona, A; Martin-Barajas, A				Noyola-Medrano, MC; Hinojosa-Corona, A; Martin-Barajas, A			Lithologic characterization of desertic regions using remote sensing techniques: An example in the central coast of Baja California, Mexico	REVISTA MEXICANA DE CIENCIAS GEOLOGICAS																Hinojosa-Corona, Alejandro/L-5422-2015	Hinojosa-Corona, Alejandro/0000-0002-2282-337X; Noyola Medrano, Cristina/0000-0001-9875-6751												1026-8774						2005	22	2					229	245										WOS:000231133100007						
J	Gregg, WW; Casey, NW				Gregg, WW; Casey, NW			Global and regional evaluation of the SeaWiFS chlorophyll data set	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				DEC 15	2004	93	4					463	479		10.1016/j.rse.2003.12.012								WOS:000225361100002						
J	Singh, RP; Dey, S; Tripathi, SN; Tare, V; Holben, B				Singh, RP; Dey, S; Tripathi, SN; Tare, V; Holben, B			Variability of aerosol parameters over Kanpur, northern India	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Tripathi, Sachchida/J-4840-2016; Singh, Ramesh/G-7240-2012	Dey, Sagnik/0000-0002-0604-0869												2169-897X	2169-8996				DEC 11	2004	109	D23							D23206	10.1029/2004JD004966								WOS:000225879600003						
J	Norton, DW; Gaylord, AG				Norton, DW; Gaylord, AG			Drift velocities of ice floes in Alaska's northern Chukchi sea flaw zone: Determinants of success by spring subsistence whalers in 2000 and 2001	ARCTIC																													0004-0843					DEC	2004	57	4					347	362										WOS:000225795300004						
J	Blott, SJ; Pye, K				Blott, SJ; Pye, K			Morphological and sedimentological changes on an artificially nourished beach, Lincolnshire, UK	JOURNAL OF COASTAL RESEARCH																	Blott, Simon/0000-0003-3186-0305												0749-0208					WIN	2004	20	1					214	233		10.2112/1551-5036(2004)20[214:MASCOA]2.0.CO;2								WOS:000220549900015						
J	Ivanov, AY; Alpers, W; Litovchenko, KT; He, MX; Feng, Q; Fang, MQ; Yan, XH				Ivanov, AY; Alpers, W; Litovchenko, KT; He, MX; Feng, Q; Fang, MQ; Yan, XH			Atmospheric front over the East China Sea studied by multisensor satellite and in situ data	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Ivanov, Andrei/G-1022-2014	Ivanov, Andrei/0000-0001-6008-0020												2169-9275	2169-9291				DEC 1	2004	109	C12							C12001	10.1029/2004JC002432								WOS:000225585100001						
J	Del Vecchio, R; Subramaniam, A				Del Vecchio, R; Subramaniam, A			Influence of the Amazon River on the surface optical properties of the western tropical North Atlantic Ocean	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Liu, Cheng-Chien/E-4859-2011	Subramaniam, Ajit/0000-0003-1316-5827												2169-9275	2169-9291				NOV 4	2004	109	C11							C11001	10.1029/2004jc002503								WOS:000225031900003						
J	Brogniez, G; Parol, F; Becu, L; Pelon, J; Jourdan, O; Gayet, JF; Auriol, F; Verwaerde, C; Balois, JY				Brogniez, G; Parol, F; Becu, L; Pelon, J; Jourdan, O; Gayet, JF; Auriol, F; Verwaerde, C; Balois, JY			Determination of cirrus radiative parameters from combination between active and passive remote sensing measurements during FRENCH/DIRAC 2001	ATMOSPHERIC RESEARCH					Joint Assembly of the EGS/AGU/EUG	APR 06-11, 2003	Nice, FRANCE	EGS, AGU, EUG																					0169-8095					NOV-DEC	2004	72	1-4					425	452		10.1016/j.atmosres.2004.03.026								WOS:000225625000023						
J	Davis, CH; Ferguson, AC				Davis, CH; Ferguson, AC			Elevation change of the Antarctic ice sheet, 1995-2000, from ERS-2 satellite radar altimetry	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					NOV	2004	42	11					2437	2445		10.1109/TGRS.2004.836789								WOS:000225171900008						
J	Kelly, M; Shaari, D; Guo, QH; Liu, DS				Kelly, M; Shaari, D; Guo, QH; Liu, DS			A comparison of standard and hybrid classifier methods for mapping hardwood mortality in areas affected by "sudden oak death"	PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING																Liu, Desheng/A-9356-2011													0099-1112					NOV	2004	70	11					1229	1239		10.14358/PERS.70.11.1229								WOS:000224887600006						
J	Martin, S; Drucker, R; Kwok, R; Holt, B				Martin, S; Drucker, R; Kwok, R; Holt, B			Estimation of the thin ice thickness and heat flux for the Chukchi Sea Alaskan coast polynya from Special Sensor Microwave/Imager data, 1990-2001	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																Kwok, Ron/A-9762-2008	Kwok, Ron/0000-0003-4051-5896												2169-9275	2169-9291				OCT 26	2004	109	C10							C10012	10.1029/2004JC002428								WOS:000224882900003						
J	Zhang, CD; Pennington, J				Zhang, CD; Pennington, J			African dry air outbreaks	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																													2169-897X					OCT 19	2004	109	D20							D20108	10.1029/2003JD003978								WOS:000224876600001						
J	Dellepiane, S; De Laurentiis, R; Giordano, F				Dellepiane, S; De Laurentiis, R; Giordano, F			Coastline extraction from SAR images and a method for the evaluation of the coastline precision	PATTERN RECOGNITION LETTERS					2nd International Workshop on Pattern Recognition for Remote Sensing	AUG, 2002	Niagra Falls, CANADA									Dellepiane, Silvana/D-4087-2016	Dellepiane, Silvana/0000-0001-6729-5198												0167-8655					OCT 1	2004	25	13					1461	1470		10.1016/j.patrec.2004.05.022								WOS:000224285700002						
J	Davis, A; Yan, XH				Davis, A; Yan, XH			Hurricane forcing on chlorophyll-a concentration off the northeast coast of the US	GEOPHYSICAL RESEARCH LETTERS																													0094-8276					SEP 14	2004	31	17							L17304	10.1029/2004GL020668								WOS:000224122700003						
J	Law, BE; Turner, D; Campbell, J; Sun, OJ; Van Tuyl, S; Ritts, WD; Cohen, WB				Law, BE; Turner, D; Campbell, J; Sun, OJ; Van Tuyl, S; Ritts, WD; Cohen, WB			Disturbance and climate effects on carbon stocks and fluxes across Western Oregon USA	GLOBAL CHANGE BIOLOGY																Law, Beverly/G-3882-2010	Law, Beverly/0000-0002-1605-1203; Van Tuyl, Steven/0000-0002-8752-272X; Sun, Osbert/0000-0002-8815-5984												1354-1013					SEP	2004	10	9					1429	1444		10.1111/j.1365-2486.2004.00822.x								WOS:000223817000001						
J	Howari, FM				Howari, FM			Investigation of hydrocarbon pollution in the vicinity of United Arab Emirates coasts using visible and near infrared remote sensing data	JOURNAL OF COASTAL RESEARCH																													0749-0208					FAL	2004	20	4					1089	1095		10.2112/03-0023R.1								WOS:000225276900012						
J	Froidefond, JM; Lahet, F; Hu, C; Doxaran, D; Guiral, D; Prost, MT; Ternon, JF				Froidefond, JM; Lahet, F; Hu, C; Doxaran, D; Guiral, D; Prost, MT; Ternon, JF			Mudflats and mud suspension observed from satellite data in French Guiana	MARINE GEOLOGY					Symposium on the Guiana Coast and Other Mangrove-fringed Shorelines held at the 8th French Sedimentological Congress	NOV, 2001	Orleans, FRANCE	Assoc French Sedimentologists								hu, chuanmin/J-5021-2012													0025-3227					AUG 15	2004	208	2-4					153	168		10.1016/j.margeo.2004.04.025								WOS:000223419400005						
J	Allison, MA; Lee, MT				Allison, MA; Lee, MT			Sediment exchange between Amazon mudbanks and shore-fringing mangroves in French Guiana	MARINE GEOLOGY					Symposium on the Guiana Coast and Other Mangrove-fringed Shorelines held at the 8th French Sedimentological Congress	NOV, 2001	Orleans, FRANCE	Assoc French Sedimentologists								Allison, Mead/A-7208-2010													0025-3227					AUG 15	2004	208	2-4					169	190		10.1016/j.margeo.2004.04.026								WOS:000223419400006						
J	Fromard, F; Vega, C; Proisy, C				Fromard, F; Vega, C; Proisy, C			Half a century of dynamic coastal change affecting mangrove shorelines of French Guiana. A case study based on remote sensing data analyses and field surveys	MARINE GEOLOGY					Symposium on the Guiana Coast and Other Mangrove-fringed Shorelines held at the 8th French Sedimentological Congress	NOV, 2001	Orleans, FRANCE	Assoc French Sedimentologists																					0025-3227					AUG 15	2004	208	2-4					265	280		10.1016/j.margeo.2004.04.018								WOS:000223419400011						
J	Eyre, MD; Luff, ML				Eyre, MD; Luff, ML			Ground beetle species (Coleoptera, Carabidae) associations with land cover variables in northern England and southern Scotland	ECOGRAPHY																													0906-7590					AUG	2004	27	4					417	426		10.1111/j.0906-7590.2004.03757.x								WOS:000221533100002						
J	Cushman, SA; McGarigal, K				Cushman, SA; McGarigal, K			Hierarchical analysis of forest bird species-environment relationships in the Oregon Coast Range	ECOLOGICAL APPLICATIONS																													1051-0761					AUG	2004	14	4					1090	1105		10.1890/03-5131								WOS:000223156600012						
J	Kobashi, F; Hanawa, K				Kobashi, F; Hanawa, K			Hydrographic features off the southeast coast of Kyushu during the Kuroshio small meanders: A case study for small meanders that occurred in 1994 and 1995 spring	JOURNAL OF OCEANOGRAPHY																KOBASHI, Fumiaki/O-2028-2014													0916-8370					AUG	2004	60	4					645	661		10.1007/s10872-004-5758-x								WOS:000222449400001						
J	Misra, KS; Bhutani, R; Sonp, R				Misra, KS; Bhutani, R; Sonp, R			Seismogeology of the Kutch and adjoining region, with special reference to 26th January 2001 earthquake in the vicinity of Bachau, Gujarat	JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA																													0016-7622					AUG	2004	64	2					153	164										WOS:000223160900005						
J	Melville, WK; Felizardo, FC; Matusov, P				Melville, WK; Felizardo, FC; Matusov, P			Wave slope and wave age effects in measurements of electromagnetic	JOURNAL OF GEOPHYSICAL RESEARCH-OCEANS																													2169-9275	2169-9291				JUL 27	2004	109	C7							C07018	10.1029/2002JC001708								WOS:000223190900001						
J	Dean, KG; Dehn, J; Papp, KR; Smith, S; Izbekov, P; Peterson, R; Kearney, C; Steffke, A				Dean, KG; Dehn, J; Papp, KR; Smith, S; Izbekov, P; Peterson, R; Kearney, C; Steffke, A			Integrated satellite observations of the 2001 eruption of Mt. Cleveland, Alaska	JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH					Fall Meeting of the American-Geophysical-Union	DEC 10-14, 2001	SAN FRANCISCO, CA	Amer Geophys Union								Izbekov, Pavel/B-5110-2010													0377-0273					JUL 15	2004	135	1-2					51	73		10.1016/j.volgeores.2003.12.013								WOS:000222541500004						
J	Voigt, S; Tetzlaff, A; Zhang, JZ; Kunzer, C; Zhukov, B; Strunz, G; Oertel, D; Roth, A; van Dijk, P; Mehl, H				Voigt, S; Tetzlaff, A; Zhang, JZ; Kunzer, C; Zhukov, B; Strunz, G; Oertel, D; Roth, A; van Dijk, P; Mehl, H			Integrating satellite remote sensing techniques for detection and analysis of uncontrolled coal seam fires in North China	INTERNATIONAL JOURNAL OF COAL GEOLOGY					Symposium on Coal Fires Burning Around the World	FEB 18, 2003	Denver, CO	Amer Assoc Advancement Sci								van Dijk, Paul/C-6603-2008													0166-5162					JUL 12	2004	59	1-2					121	136		10.1016/j.coal.2003.12.013								WOS:000222537900012						
J	Bird, M; Chua, S; Fifield, LK; Teh, TS; Lai, J				Bird, M; Chua, S; Fifield, LK; Teh, TS; Lai, J			Evolution of the Sungei Buloh-Kranji mangrove coast, Singapore	APPLIED GEOGRAPHY																Bird, Michael/G-5364-2010	Bird, Michael/0000-0003-1801-8703												0143-6228					JUL	2004	24	3					181	198		10.1016/j.apgeog.2004.04.002								WOS:000222833500001						
J	Vachon, F; Royer, A; Aube, M; Toubbe, B; O'Neill, NT; Teillet, PM				Vachon, F; Royer, A; Aube, M; Toubbe, B; O'Neill, NT; Teillet, PM			Remote sensing of aerosols over North American land surfaces from POLDER and MODIS measurements	ATMOSPHERIC ENVIRONMENT																													1352-2310	1873-2844				JUL	2004	38	21					3501	3515		10.1016/j.atmosenv.2004.01.046								WOS:000221838100013						
J	Ryu, JH; Na, YH; Won, JS; Doerffer, R				Ryu, JH; Na, YH; Won, JS; Doerffer, R			A critical grain size for Landsat ETM+ investigations into intertidal sediments: a case study of the Gomso tidal flats, Korea	ESTUARINE COASTAL AND SHELF SCIENCE																	WON, JOONG-SUN/0000-0001-9255-9407												0272-7714					JUL	2004	60	3					491	502		10.1016/j.ecss.2004.02.009								WOS:000222143600010						
J	Tomlinson, MC; Stumpf, RP; Ransibrahmanakul, V; Truby, EW; Kirkpatrick, GJ; Pederson, BA; Vargo, GA; Heil, CA				Tomlinson, MC; Stumpf, RP; Ransibrahmanakul, V; Truby, EW; Kirkpatrick, GJ; Pederson, BA; Vargo, GA; Heil, CA			Evaluation of the use of SeaWiFS imagery for detecting Karenia brevis harmful algal blooms in the eastern Gulf of Mexico	REMOTE SENSING OF ENVIRONMENT																													0034-4257					JUN 30	2004	91	3-4					293	303		10.1016/j.rse.2004.02.014								WOS:000222438300003						
J	Sarangi, RK; Chauhan, P; Nayak, SR				Sarangi, RK; Chauhan, P; Nayak, SR			Detection and monitoring of Trichodesmium blooms in the coastal waters off Saurashtra coast, India using IRS-P4 OCM data	CURRENT SCIENCE																													0011-3891					JUN 25	2004	86	12					1636	1641										WOS:000222454500020						
J	Yankovsky, AE; Lemeshko, EM; Ilyin, YP				Yankovsky, AE; Lemeshko, EM; Ilyin, YP			The influence of shelfbreak forcing on the alongshelf penetration of the Danube buoyant water, Black sea	CONTINENTAL SHELF RESEARCH																	Yankovsky, Alexander/0000-0002-0874-9564												0278-4343					JUN	2004	24	10					1083	1098		10.1016/j.csr.2004.03.007								WOS:000222596800002						
J	Erkkila, A; Kalliola, R				Erkkila, A; Kalliola, R			Patterns and dynamics of coastal waters in multi-temporal satellite images: support to water quality monitoring in the Archipelago Sea, Finland	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714					JUN	2004	60	2					165	177		10.1016/j.ecss.2003.11.024								WOS:000221591200001						
J	Worden, JR; Bowman, KW; Jones, DB				Worden, JR; Bowman, KW; Jones, DB			Two-dimensional characterization of atmospheric profile retrievals from limb sounding observations	JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER																Jones, Dylan/O-2475-2014	Jones, Dylan/0000-0002-1935-3725												0022-4073	1879-1352				JUN 1	2004	86	1					45	71		10.1016/S0022-4073(03)00274-7								WOS:000220934100004						
J	Marghany, M				Marghany, Maged			VELOCITY BUNCHING MODEL FOR MODELLING WAVE SPECTRA ALONG EAST COAST OF MALAYSIA	JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING																													0255-660X					JUN	2004	32	2					185	198		10.1007/BF03030875								WOS:000208265500007						
J	Turner, DP; Guzy, M; Lefsky, MA; Ritts, WD; VAN Tuyl, S; Law, BE				Turner, DP; Guzy, M; Lefsky, MA; Ritts, WD; VAN Tuyl, S; Law, BE			Monitoring forest carbon sequestration with remote sensing and carbon cycle modeling	ENVIRONMENTAL MANAGEMENT																Law, Beverly/G-3882-2010; Lefsky, Michael/A-7224-2009	Law, Beverly/0000-0002-1605-1203; Van Tuyl, Steven/0000-0002-8752-272X												0364-152X					APR	2004	33	4					457	466		10.1007/s00267-003-9103-8								WOS:000222309300004	15453399					
J	Johnson, LF; Pierce, LL				Johnson, LF; Pierce, LL			Indirect measurement of leaf area index in California North Coast vineyards	HORTSCIENCE																													0018-5345					APR	2004	39	2					236	238										WOS:000220973800005						
J	Siegel, H; Gerth, M; Ohde, T				Siegel, H; Gerth, M; Ohde, T			Dynamic features along the German Baltic Sea coast: contribution to coastal monitoring	INTERNATIONAL JOURNAL OF REMOTE SENSING					Oceans from Space Venice 2000 Symposium	OCT 09-13, 2000	Venice, ITALY									Ohde, Thomas/J-4926-2015	Ohde, Thomas/0000-0001-8117-814X												0143-1161					APR	2004	25	7-8					1403	1408		10.1080/01431160310001592364								WOS:000189343600023						
J	Hetscher, M; Krawczyk, H; Neumann, A; Zimmermann, G				Hetscher, M; Krawczyk, H; Neumann, A; Zimmermann, G			Four years of ocean colour remote sensing with MOS-IRS	INTERNATIONAL JOURNAL OF REMOTE SENSING					Oceans from Space Venice 2000 Symposium	OCT 09-13, 2000	Venice, ITALY																						0143-1161					APR	2004	25	7-8					1415	1421		10.1080/01431160310001592382								WOS:000189343600025						
J	Tozzi, S; Schofield, O; Bergmann, T; Moline, MA; Arnone, R				Tozzi, S; Schofield, O; Bergmann, T; Moline, MA; Arnone, R			Variability in measured and modelled remote sensing reflectance for coastal waters at LEO-15	INTERNATIONAL JOURNAL OF REMOTE SENSING					Oceans from Space Venice 2000 Symposium	OCT 09-13, 2000	Venice, ITALY									Tozzi, Sasha/B-2111-2009	schofield, oscar/0000-0003-2359-4131												0143-1161					APR	2004	25	7-8					1469	1472		10.1080/01431161310001592463								WOS:000189343600033						
